type,AUC,AUC-ALL,top_feature,n_pcas,cb_AUC,lr_AUC,90%.sens-I,90%.sens-II,90%.sens-III,90%.sens,90%.spec,95%.sens-I,95%.sens-II,95%.sens-III,95%.sens,95%.spec,98%.sens-I,98%.sens-II,98%.sens-III,98%.sens,98%.spec
TRAIN_CV,0.797167,0.797167,700,0,0.8438054968287527,0.7213953488372091,0.551,0.545,0.457,0.53,0.905,0.39,0.394,0.348,0.381,0.955,0.279,0.273,0.304,0.284,0.982
TRAIN_CV,0.789514,0.789514,690,0,0.8318604651162791,0.7160676532769557,0.522,0.515,0.543,0.526,0.905,0.309,0.364,0.37,0.33,0.955,0.228,0.333,0.217,0.242,0.982
TRAIN_CV,0.786596,0.786596,680,0,0.8320718816067653,0.7140169133192389,0.5,0.545,0.478,0.502,0.905,0.397,0.364,0.413,0.395,0.955,0.279,0.333,0.304,0.293,0.982
TRAIN_CV,0.768541,0.768541,640,0,0.8213953488372093,0.691585623678647,0.449,0.485,0.457,0.456,0.905,0.368,0.333,0.37,0.363,0.955,0.221,0.303,0.261,0.242,0.982
TRAIN_CV,0.724059,0.724059,410,0,0.7822198731501057,0.6080338266384779,0.338,0.364,0.391,0.353,0.905,0.294,0.333,0.283,0.298,0.955,0.162,0.303,0.239,0.2,0.982
TRAIN_CV,0.768964,0.768964,630,0,0.8226638477801269,0.686046511627907,0.478,0.545,0.457,0.484,0.905,0.404,0.455,0.37,0.405,0.955,0.169,0.273,0.217,0.195,0.982
TRAIN_CV,0.794292,0.794292,730,0,0.8218604651162791,0.7320084566596194,0.515,0.545,0.457,0.507,0.905,0.353,0.303,0.37,0.349,0.955,0.235,0.273,0.283,0.251,0.982
TRAIN_CV,0.799239,0.799239,720,0,0.8324947145877378,0.7276744186046511,0.544,0.576,0.478,0.535,0.905,0.353,0.394,0.435,0.377,0.955,0.221,0.303,0.261,0.242,0.982
TRAIN_CV,0.729049,0.729049,430,0,0.7761945031712474,0.6317970401691332,0.324,0.394,0.413,0.353,0.905,0.294,0.333,0.326,0.307,0.955,0.162,0.242,0.217,0.186,0.982
TRAIN_CV,0.726385,0.726385,440,0,0.778181818181818,0.6284143763213532,0.375,0.364,0.413,0.381,0.905,0.257,0.303,0.261,0.265,0.955,0.191,0.273,0.196,0.205,0.982
TRAIN_CV,0.729197,0.729197,450,0,0.7779704016913318,0.642029598308668,0.353,0.394,0.457,0.381,0.905,0.25,0.333,0.261,0.265,0.955,0.199,0.273,0.217,0.214,0.982
TRAIN_CV,0.733932,0.733932,460,0,0.7852854122621564,0.646892177589852,0.36,0.394,0.413,0.377,0.905,0.287,0.333,0.261,0.288,0.955,0.213,0.242,0.217,0.219,0.982
TRAIN_CV,0.801839,0.801839,780,0,0.8444608879492601,0.7313530655391121,0.537,0.576,0.522,0.54,0.905,0.426,0.455,0.435,0.433,0.955,0.265,0.333,0.283,0.279,0.982
TRAIN_CV,0.804736,0.804736,770,0,0.8423467230443973,0.7291543340380551,0.515,0.545,0.5,0.516,0.905,0.397,0.424,0.435,0.409,0.955,0.309,0.303,0.348,0.316,0.982
TRAIN_CV,0.803277,0.803277,790,0,0.8394291754756871,0.7352431289640591,0.522,0.545,0.522,0.526,0.905,0.404,0.455,0.413,0.414,0.955,0.301,0.333,0.283,0.302,0.982
TRAIN_CV,0.810254,0.810254,820,0,0.8321775898520085,0.7456871035940804,0.529,0.606,0.522,0.54,0.905,0.397,0.485,0.413,0.414,0.955,0.154,0.273,0.261,0.195,0.982
